species,lat,long,country,Occurrence,year,optional
Brachiaria brizantha (A.Rich.) Stapf,-12.45,31.3,Zambia,PRESENT,2023,TRUE
Brachiaria brizantha (A.Rich.) Stapf,-25.576389,31.175278,South Africa,PRESENT,2019,TRUE
Brachiaria brizantha (A.Rich.) Stapf,-0.71492,37.18283,Kenya,PRESENT,2019,TRUE
Brachiaria brizantha (A.Rich.) Stapf,4.41917,7.1712,Nigeria,PRESENT,2018,TRUE
Brachiaria brizantha (A.Rich.) Stapf,4.42205,7.1757,Nigeria,PRESENT,2018,TRUE
Brachiaria brizantha (A.Rich.) Stapf,4.44882,7.16853,Nigeria,PRESENT,2018,TRUE
Brachiaria brizantha (A.Rich.) Stapf,-0.75006,37.15853,Kenya,PRESENT,2018,TRUE
Brachiaria brizantha (A.Rich.) Stapf,9.010106,1.658095,Benin,PRESENT,2016,TRUE
Brachiaria brizantha (A.Rich.) Stapf,9.01137,1.66159,Benin,PRESENT,2016,TRUE
Brachiaria brizantha (A.Rich.) Stapf,9.010166,1.658895,Benin,PRESENT,2016,TRUE
Brachiaria brizantha (A.Rich.) Stapf,9.01133,1.66049,Benin,PRESENT,2016,TRUE
Brachiaria brizantha (A.Rich.) Stapf,-5.49796,30.56701,"Tanzania, United Republic of",PRESENT,2014,TRUE
Brachiaria brizantha (A.Rich.) Stapf,3.11169,33.38092,Uganda,PRESENT,2013,TRUE
Brachiaria brizantha (A.Rich.) Stapf,-12.45,31.283333,Zambia,PRESENT,2013,TRUE
Brachiaria brizantha (A.Rich.) Stapf,6.859,2.463,Benin,PRESENT,2013,TRUE
Brachiaria brizantha (A.Rich.) Stapf,9.0166,1.6666,Benin,PRESENT,2013,TRUE
Brachiaria brizantha (A.Rich.) Stapf,10.1,1.4166,Benin,PRESENT,2013,TRUE
Brachiaria brizantha (A.Rich.) Stapf,10.35,1.05,Benin,PRESENT,2013,TRUE
Brachiaria brizantha (A.Rich.) Stapf,7.0986,2.6301,Benin,PRESENT,2013,TRUE
Brachiaria brizantha (A.Rich.) Stapf,6.7266,2.7109,Benin,PRESENT,2013,TRUE
Brachiaria brizantha (A.Rich.) Stapf,-10.677222,35.185556,"Tanzania, United Republic of",PRESENT,2012,TRUE
Brachiaria brizantha (A.Rich.) Stapf,-9.694444,35.315,"Tanzania, United Republic of",PRESENT,2012,TRUE
Brachiaria brizantha (A.Rich.) Stapf,-4.34472,35.76722,"Tanzania, United Republic of",PRESENT,2010,TRUE
Brachiaria brizantha (A.Rich.) Stapf,-15.167222,13.321111,Angola,PRESENT,2009,TRUE
Brachiaria brizantha (A.Rich.) Stapf,11.554905,2.456143,Benin,PRESENT,2009,TRUE
Brachiaria brizantha (A.Rich.) Stapf,11.591656,2.423088,Benin,PRESENT,2009,TRUE
Brachiaria brizantha (A.Rich.) Stapf,11.611584,2.417177,Benin,PRESENT,2009,TRUE
Brachiaria brizantha (A.Rich.) Stapf,11.637729,2.408701,Benin,PRESENT,2009,TRUE
Brachiaria brizantha (A.Rich.) Stapf,11.671386,2.341342,Benin,PRESENT,2009,TRUE
Brachiaria brizantha (A.Rich.) Stapf,11.544468,2.475577,Benin,PRESENT,2009,TRUE
Brachiaria brizantha (A.Rich.) Stapf,11.571061,2.473602,Benin,PRESENT,2009,TRUE
Brachiaria brizantha (A.Rich.) Stapf,11.603754,2.521431,Benin,PRESENT,2009,TRUE
Brachiaria brizantha (A.Rich.) Stapf,11.590975,2.483801,Benin,PRESENT,2008,TRUE
Brachiaria brizantha (A.Rich.) Stapf,11.608881,2.464211,Benin,PRESENT,2008,TRUE
Brachiaria brizantha (A.Rich.) Stapf,11.605004,2.446616,Benin,PRESENT,2008,TRUE
Brachiaria brizantha (A.Rich.) Stapf,11.606178,2.500375,Benin,PRESENT,2008,TRUE
Brachiaria brizantha (A.Rich.) Stapf,11.616691,2.434265,Benin,PRESENT,2008,TRUE
Brachiaria brizantha (A.Rich.) Stapf,11.61895,2.433315,Benin,PRESENT,2008,TRUE
Brachiaria brizantha (A.Rich.) Stapf,11.628977,2.427452,Benin,PRESENT,2008,TRUE
Brachiaria brizantha (A.Rich.) Stapf,-0.536924,31.018174,Uganda,PRESENT,2006,TRUE
Brachiaria brizantha (A.Rich.) Stapf,10.707192,1.271707,Benin,PRESENT,2006,TRUE
Brachiaria brizantha (A.Rich.) Stapf,10.707709,0.97948,Benin,PRESENT,2006,TRUE
Brachiaria brizantha (A.Rich.) Stapf,10.706349,0.982972,Benin,PRESENT,2006,TRUE
Brachiaria brizantha (A.Rich.) Stapf,10.806376,1.236302,Benin,PRESENT,2006,TRUE
Brachiaria brizantha (A.Rich.) Stapf,10.930116,1.446415,Benin,PRESENT,2006,TRUE
Brachiaria brizantha (A.Rich.) Stapf,10.847179,1.229435,Benin,PRESENT,2006,TRUE
Brachiaria brizantha (A.Rich.) Stapf,10.6166,1.2666,Benin,PRESENT,2006,TRUE
Brachiaria brizantha (A.Rich.) Stapf,-10.177778,33.756944,Malaysia,PRESENT,2006,TRUE
Brachiaria brizantha (A.Rich.) Stapf,-10.183333,33.756389,Malaysia,PRESENT,2006,TRUE
Brachiaria brizantha (A.Rich.) Stapf,11.0164,1.549412,Benin,PRESENT,2006,TRUE
Brachiaria brizantha (A.Rich.) Stapf,11.017895,1.037904,Benin,PRESENT,2006,TRUE
Brachiaria brizantha (A.Rich.) Stapf,11.147946,1.422425,Benin,PRESENT,2006,TRUE
Brachiaria brizantha (A.Rich.) Stapf,-25.796389,30.910833,South Africa,PRESENT,2006,TRUE
Brachiaria brizantha (A.Rich.) Stapf,-14.236667,33.771389,Malawi,PRESENT,2005,TRUE
Brachiaria brizantha (A.Rich.) Stapf,9.13007,1.90512,Benin,PRESENT,2004,TRUE
Brachiaria brizantha (A.Rich.) Stapf,9.13466,1.91076,Benin,PRESENT,2004,TRUE
Brachiaria brizantha (A.Rich.) Stapf,9.13223,1.90614,Benin,PRESENT,2004,TRUE
Brachiaria brizantha (A.Rich.) Stapf,-0.594148,30.988129,Uganda,PRESENT,2004,TRUE
Brachiaria brizantha (A.Rich.) Stapf,-0.63363,30.981414,Uganda,PRESENT,2004,TRUE
Brachiaria brizantha (A.Rich.) Stapf,-0.594426,30.981231,Uganda,PRESENT,2004,TRUE
Brachiaria brizantha (A.Rich.) Stapf,-0.593624,30.988587,Uganda,PRESENT,2004,TRUE
Brachiaria brizantha (A.Rich.) Stapf,-0.591537,30.992845,Uganda,PRESENT,2004,TRUE
Brachiaria brizantha (A.Rich.) Stapf,-0.591537,30.992657,Uganda,PRESENT,2004,TRUE
Brachiaria brizantha (A.Rich.) Stapf,-0.630502,30.980256,Uganda,PRESENT,2004,TRUE
Brachiaria brizantha (A.Rich.) Stapf,-0.6599,30.968991,Uganda,PRESENT,2004,TRUE
Brachiaria brizantha (A.Rich.) Stapf,-0.59347,30.988659,Uganda,PRESENT,2004,TRUE
Brachiaria brizantha (A.Rich.) Stapf,-0.633694,30.981234,Uganda,PRESENT,2004,TRUE
Brachiaria brizantha (A.Rich.) Stapf,-0.660159,30.982014,Uganda,PRESENT,2004,TRUE
Brachiaria brizantha (A.Rich.) Stapf,-0.632617,30.980336,Uganda,PRESENT,2004,TRUE
Brachiaria brizantha (A.Rich.) Stapf,-6.748055,31.625833,"Tanzania, United Republic of",PRESENT,2004,TRUE
Brachiaria brizantha (A.Rich.) Stapf,2.25,34.45,Uganda,PRESENT,2004,TRUE
Brachiaria brizantha (A.Rich.) Stapf,-25.375,30.375,South Africa,PRESENT,2004,TRUE
Brachiaria brizantha (A.Rich.) Stapf,-9.311389,34.479444,"Tanzania, United Republic of",PRESENT,2003,TRUE
Brachiaria brizantha (A.Rich.) Stapf,0.38333,34.05,Uganda,PRESENT,2003,TRUE
Brachiaria brizantha (A.Rich.) Stapf,8.55,13.916667,Cameroon,PRESENT,2003,TRUE
Brachiaria brizantha (A.Rich.) Stapf,-27.125278,31.375,Eswatini,PRESENT,2002,TRUE
Brachiaria brizantha (A.Rich.) Stapf,10.305824,2.977014,Benin,PRESENT,2001,TRUE
Brachiaria brizantha (A.Rich.) Stapf,9.025913,2.255811,Benin,PRESENT,2001,TRUE
Brachiaria brizantha (A.Rich.) Stapf,9.468018,2.253797,Benin,PRESENT,2001,TRUE
Brachiaria brizantha (A.Rich.) Stapf,9.70882,2.277591,Benin,PRESENT,2001,TRUE
Brachiaria brizantha (A.Rich.) Stapf,10.403445,2.740558,Benin,PRESENT,2001,TRUE
Brachiaria brizantha (A.Rich.) Stapf,-24.455833,28.622778,South Africa,PRESENT,2001,TRUE
Brachiaria brizantha (A.Rich.) Stapf,-24.458889,28.651667,South Africa,PRESENT,2001,TRUE
Brachiaria brizantha (A.Rich.) Stapf,10.220334,1.358417,Benin,PRESENT,2001,TRUE
Brachiaria brizantha (A.Rich.) Stapf,10.333727,1.343542,Benin,PRESENT,2001,TRUE
Brachiaria brizantha (A.Rich.) Stapf,10.318159,1.347823,Benin,PRESENT,2001,TRUE
Brachiaria brizantha (A.Rich.) Stapf,10.300965,1.347868,Benin,PRESENT,2001,TRUE
Brachiaria brizantha (A.Rich.) Stapf,10.300998,1.347902,Benin,PRESENT,2001,TRUE
Brachiaria brizantha (A.Rich.) Stapf,10.214147,1.34908,Benin,PRESENT,2001,TRUE
Brachiaria brizantha (A.Rich.) Stapf,8.804627,1.864182,Benin,PRESENT,2001,TRUE
Brachiaria brizantha (A.Rich.) Stapf,9.243841,1.539942,Benin,PRESENT,2001,TRUE
Brachiaria brizantha (A.Rich.) Stapf,10.406436,1.475274,Benin,PRESENT,2001,TRUE
Brachiaria brizantha (A.Rich.) Stapf,11.048332,1.585535,Benin,PRESENT,2001,TRUE
Brachiaria brizantha (A.Rich.) Stapf,10.575958,1.590961,Benin,PRESENT,2001,TRUE
Brachiaria brizantha (A.Rich.) Stapf,10.288595,1.487997,Benin,PRESENT,2001,TRUE
Brachiaria brizantha (A.Rich.) Stapf,8.916802,1.821762,Benin,PRESENT,2001,TRUE
Brachiaria brizantha (A.Rich.) Stapf,8.91014,1.830329,Benin,PRESENT,2001,TRUE
Brachiaria brizantha (A.Rich.) Stapf,-1.025556,31.420556,"Tanzania, United Republic of",PRESENT,2001,TRUE
