species,lat,long,country,Occurrence,year,optional
Desmodium intortum (Mill.) Urb.,-11.652783,43.3262,Comoros,PRESENT,2022,TRUE
Desmodium intortum (Mill.) Urb.,5.331097,10.282397,Cameroon,PRESENT,2022,TRUE
Desmodium intortum (Mill.) Urb.,-2.160397,30.513775,Rwanda,PRESENT,2021,TRUE
Desmodium intortum (Mill.) Urb.,-0.56972,37.15778,Kenya,PRESENT,2019,TRUE
Desmodium intortum (Mill.) Urb.,0.6005,35.006352,Kenya,PRESENT,2019,TRUE
Desmodium intortum (Mill.) Urb.,-16.277023,35.145827,Malawi,PRESENT,2018,TRUE
Desmodium intortum (Mill.) Urb.,-11.644158,43.314632,Comoros,PRESENT,2017,TRUE
Desmodium intortum (Mill.) Urb.,-11.537575,43.34264,Comoros,PRESENT,2017,TRUE
Desmodium intortum (Mill.) Urb.,-11.468172,43.32716,Comoros,PRESENT,2016,TRUE
Desmodium intortum (Mill.) Urb.,-11.645937,43.299427,Comoros,PRESENT,2016,TRUE
Desmodium intortum (Mill.) Urb.,-11.645145,43.325985,Comoros,PRESENT,2016,TRUE
Desmodium intortum (Mill.) Urb.,-11.4709,43.3428,Comoros,PRESENT,2016,TRUE
Desmodium intortum (Mill.) Urb.,-11.43484,43.350857,Comoros,PRESENT,2016,TRUE
Desmodium intortum (Mill.) Urb.,7.084168,38.618896,Ethiopia,PRESENT,2012,TRUE
Desmodium intortum (Mill.) Urb.,-11.47361,43.34528,Comoros,PRESENT,2006,TRUE
Desmodium intortum (Mill.) Urb.,-11.473611,43.345278,Comoros,PRESENT,2006,TRUE
Desmodium intortum (Mill.) Urb.,-15.699167,35.151667,Malaysia,PRESENT,2006,TRUE
Desmodium intortum (Mill.) Urb.,-15.698056,35.151667,Malaysia,PRESENT,2006,TRUE
Desmodium intortum (Mill.) Urb.,10.983334,36.496667,Ethiopia,PRESENT,2004,TRUE
Desmodium intortum (Mill.) Urb.,10.98333,36.49667,Ethiopia,PRESENT,2004,TRUE
Desmodium intortum (Mill.) Urb.,-3.25694,36.39972,"Tanzania, United Republic of",PRESENT,2001,TRUE
Desmodium intortum (Mill.) Urb.,5.816667,10.083333,Cameroon,PRESENT,2001,TRUE
Desmodium intortum (Mill.) Urb.,5.81667,10.08333,Cameroon,PRESENT,2001,TRUE
Desmodium intortum (Mill.) Urb.,-0.591537,30.992845,Uganda,PRESENT,2001,TRUE
Desmodium intortum (Mill.) Urb.,-0.660448,30.982095,Uganda,PRESENT,2001,TRUE
Desmodium intortum (Mill.) Urb.,-0.63363,30.981414,Uganda,PRESENT,2001,TRUE
Desmodium intortum (Mill.) Urb.,-0.594426,30.981231,Uganda,PRESENT,2001,TRUE
Desmodium intortum (Mill.) Urb.,-1.033333,31.533333,"Tanzania, United Republic of",PRESENT,2000,TRUE
Desmodium intortum (Mill.) Urb.,-3.26666,36.5,"Tanzania, United Republic of",PRESENT,2000,TRUE
Desmodium intortum (Mill.) Urb.,5.8375,10.066667,Cameroon,PRESENT,2000,TRUE
Desmodium intortum (Mill.) Urb.,5.8375,10.07767,Cameroon,PRESENT,2000,TRUE
Desmodium intortum (Mill.) Urb.,-3.366667,36.838889,"Tanzania, United Republic of",PRESENT,1999,TRUE
Desmodium intortum (Mill.) Urb.,-3.36666,36.83888,"Tanzania, United Republic of",PRESENT,1999,TRUE
Desmodium intortum (Mill.) Urb.,-3.36944,36.8375,"Tanzania, United Republic of",PRESENT,1999,TRUE
Desmodium intortum (Mill.) Urb.,-6.366667,31.15,"Tanzania, United Republic of",PRESENT,1997,TRUE
Desmodium intortum (Mill.) Urb.,0,0,Indonesia,PRESENT,1997,TRUE
Desmodium intortum (Mill.) Urb.,-8.866667,33.333333,"Tanzania, United Republic of",PRESENT,1990,TRUE
Desmodium intortum (Mill.) Urb.,9.166667,13.416667,Cameroon,PRESENT,1990,TRUE
Desmodium intortum (Mill.) Urb.,-8.51666,35.16666,"Tanzania, United Republic of",PRESENT,1989,TRUE
Desmodium intortum (Mill.) Urb.,-8.5,35.25,"Tanzania, United Republic of",PRESENT,1987,TRUE
Desmodium intortum (Mill.) Urb.,5.416667,10.1,Cameroon,PRESENT,1986,TRUE
Desmodium intortum (Mill.) Urb.,-3.116667,30.133333,Burundi,PRESENT,1985,TRUE
Desmodium intortum (Mill.) Urb.,-7.9501,35.56,"Tanzania, United Republic of",PRESENT,1985,TRUE
Desmodium intortum (Mill.) Urb.,-8.9957,34.8374,"Tanzania, United Republic of",PRESENT,1985,TRUE
Desmodium intortum (Mill.) Urb.,-2.05,29.516667,Rwanda,PRESENT,1984,TRUE
Desmodium intortum var. intortum,0,0,Costa Rica,PRESENT,1983,TRUE
Desmodium intortum var. intortum,0,0,Costa Rica,PRESENT,1981,TRUE
Desmodium intortum (Mill.) Urb.,-4.016667,30.066667,Burundi,PRESENT,1981,TRUE
Desmodium intortum (Mill.) Urb.,-4,30.05,Burundi,PRESENT,1981,TRUE
Desmodium intortum var. intortum,0,0,Costa Rica,PRESENT,1977,TRUE
Desmodium intortum var. intortum,0,0,Costa Rica,PRESENT,1976,TRUE
Desmodium intortum (Mill.) Urb.,-3.404166,29.922222,Burundi,PRESENT,1976,TRUE
Desmodium intortum (Mill.) Urb.,-11.533333,33.933334,Malawi,PRESENT,1974,TRUE
Desmodium intortum (Mill.) Urb.,-10.833333,34,Malawi,PRESENT,1973,TRUE
Desmodium intortum (Mill.) Urb.,-10.75,34.03333,Malawi,PRESENT,1973,TRUE
Desmodium intortum (Mill.) Urb.,-11.016667,33.866667,Malawi,PRESENT,1971,TRUE
Desmodium intortum var. intortum,0,0,Costa Rica,PRESENT,1971,TRUE
Desmodium intortum (Mill.) Urb.,-11.533333,33.933334,Malawi,PRESENT,1970,TRUE
Desmodium intortum var. intortum,0,0,Costa Rica,PRESENT,1967,TRUE
Desmodium intortum (Mill.) Urb.,-15.566667,28.25,Zambia,PRESENT,1966,TRUE
